[Sun Mar 22 05:25:42 PM EDT 2026] Starting KeypointDetect retraining from /home/user/src/JARVIS-HybridNet/projects/mouseJan30/models/KeypointDetect/Run_20260311-151206/EfficientTrack-medium_final.pth

============================================================
Stage 2: KeypointDetect  |  weights=/home/user/src/JARVIS-HybridNet/projects/mouseJan30/models/KeypointDetect/Run_20260311-151206/EfficientTrack-medium_final.pth  |  epochs=100
============================================================
[92mSuccessfully loaded project mouseJan30.[0m
[Info] Training KeypointDetect on project mouseJan30 for 100 epochs!
[Info] Successfully loaded weights: /home/user/src/JARVIS-HybridNet/projects/mouseJan30/models/KeypointDetect/Run_20260311-151206/EfficientTrack-medium_final.pth

  0%|          | 0/54526 [00:00<?, ?it/s]
Epoch: 1/100. Loss: 8.10033. Acc: 5.977:   0%|          | 74/54526 [00:14<1:30:21, 10.04it/s]
Epoch: 1/100. Loss: 8.08158. Acc: 5.957:   0%|          | 74/54526 [00:14<1:30:21, 10.04it/s]
Epoch: 1/100. Loss: 8.08158. Acc: 5.957:   0%|          | 76/54526 [00:14<1:30:05, 10.07it/s]
Epoch: 1/100. Loss: 8.05693. Acc: 5.942:   0%|          | 76/54526 [00:14<1:30:05, 10.07it/s]
Epoch: 1/100. Loss: 8.20014. Acc: 5.956:   0%|          | 76/54526 [00:14<1:30:05, 10.07it/s]
Epoch: 1/100. Loss: 8.20014. Acc: 5.956:   0%|          | 78/54526 [00:14<1:29:37, 10.13it/s]
Epoch: 1/100. Loss: 8.09639. Acc: 5.956:   0%|          | 78/54526 [00:14<1:29:37, 10.13it/s]
Epoch: 1/100. Loss: 8.05640. Acc: 5.932:   0%|          | 78/54526 [00:14<1:29:37, 10.13it/s]
Epoch: 1/100. Loss: 8.05640. Acc: 5.932:   0%|          | 80/54526 [00:14<1:29:36, 10.13it/s]
Epoch: 1/100. Loss: 8.05389. Acc: 5.915:   0%|          | 80/54526 [00:14<1:29:36, 10.13it/s]
Epoch: 1/100. Loss: 8.04578. Acc: 5.910:   0%|          | 80/54526 [00:14<1:29:36, 10.13it/s]
Epoch: 1/100. Loss: 8.04578. Acc: 5.910:   0%|          | 82/54526 [00:14<1:29:23, 10.15it/s]
Epoch: 1/100. Loss: 8.06658. Acc: 5.904:   0%|          | 82/54526 [00:14<1:29:23, 10.15it/s]
Epoch: 1/100. Loss: 8.14889. Acc: 5.917:   0%|          | 82/54526 [00:14<1:29:23, 10.15it/s]
Epoch: 1/100. Loss: 8.14889. Acc: 5.917:   0%|          | 84/54526 [00:14<1:29:12, 10.17it/s]
Epoch: 1/100. Loss: 8.05306. Acc: 5.917:   0%|          | 84/54526 [00:15<1:29:12, 10.17it/s]
Epoch: 1/100. Loss: 8.05533. Acc: 5.916:   0%|          | 84/54526 [00:15<1:29:12, 10.17it/s]
Epoch: 1/100. Loss: 8.05533. Acc: 5.916:   0%|          | 86/54526 [00:15<1:29:02, 10.19it/s]
Epoch: 1/100. Loss: 7.99190. Acc: 5.903:   0%|          | 86/54526 [00:15<1:29:02, 10.19it/s]
Epoch: 1/100. Loss: 7.97873. Acc: 5.898:   0%|          | 86/54526 [00:15<1:29:02, 10.19it/s]
Epoch: 1/100. Loss: 7.97873. Acc: 5.898:   0%|          | 88/54526 [00:15<1:29:13, 10.17it/s]
Epoch: 1/100. Loss: 7.93665. Acc: 5.898:   0%|          | 88/54526 [00:15<1:29:13, 10.17it/s]
Epoch: 1/100. Loss: 8.01501. Acc: 5.902:   0%|          | 88/54526 [00:15<1:29:13, 10.17it/s]
Epoch: 1/100. Loss: 8.01501. Acc: 5.902:   0%|          | 90/54526 [00:15<1:29:15, 10.16it/s]
Epoch: 1/100. Loss: 8.15642. Acc: 6.035:   0%|          | 90/54526 [00:15<1:29:15, 10.16it/s]
Epoch: 1/100. Loss: 8.19999. Acc: 6.032:   0%|          | 90/54526 [00:15<1:29:15, 10.16it/s]
Epoch: 1/100. Loss: 8.19999. Acc: 6.032:   0%|          | 92/54526 [00:15<1:29:58, 10.08it/s]
Epoch: 1/100. Loss: 8.20646. Acc: 6.026:   0%|          | 92/54526 [00:15<1:29:58, 10.08it/s]
Epoch: 1/100. Loss: 8.17915. Acc: 6.010:   0%|          | 92/54526 [00:15<1:29:58, 10.08it/s]
Epoch: 1/100. Loss: 8.17915. Acc: 6.010:   0%|          | 94/54526 [00:15<1:30:32, 10.02it/s]
Epoch: 1/100. Loss: 8.12666. Acc: 5.981:   0%|          | 94/54526 [00:16<1:30:32, 10.02it/s]
Epoch: 1/100. Loss: 8.33226. Acc: 5.998:   0%|          | 94/54526 [00:16<1:30:32, 10.02it/s]
Epoch: 1/100. Loss: 8.33226. Acc: 5.998:   0%|          | 96/54526 [00:16<1:30:17, 10.05it/s]
Epoch: 1/100. Loss: 8.28049. Acc: 5.986:   0%|          | 96/54526 [00:16<1:30:17, 10.05it/s]
Epoch: 1/100. Loss: 8.25073. Acc: 5.992:   0%|          | 96/54526 [00:16<1:30:17, 10.05it/s]
Epoch: 1/100. Loss: 8.25073. Acc: 5.992:   0%|          | 98/54526 [00:16<1:30:00, 10.08it/s]
Epoch: 1/100. Loss: 8.24113. Acc: 5.987:   0%|          | 98/54526 [00:16<1:30:00, 10.08it/s]
Epoch: 1/100. Loss: 8.15877. Acc: 5.987:   0%|          | 98/54526 [00:16<1:30:00, 10.08it/s]
Epoch: 1/100. Loss: 8.15877. Acc: 5.987:   0%|          | 100/54526 [00:16<1:29:40, 10.11it/s]
Epoch: 1/100. Loss: 8.25312. Acc: 6.001:   0%|          | 100/54526 [00:16<1:29:40, 10.11it/s]
Epoch: 1/100. Loss: 8.24538. Acc: 5.994:   0%|          | 100/54526 [00:16<1:29:40, 10.11it/s]
Epoch: 1/100. Loss: 8.24538. Acc: 5.994:   0%|          | 102/54526 [00:16<1:29:51, 10.09it/s]
Epoch: 1/100. Loss: 8.17432. Acc: 5.967:   0%|          | 102/54526 [00:16<1:29:51, 10.09it/s]
Epoch: 1/100. Loss: 8.18246. Acc: 5.958:   0%|          | 102/54526 [00:16<1:29:51, 10.09it/s]
Epoch: 1/100. Loss: 8.18246. Acc: 5.958:   0%|          | 104/54526 [00:16<1:30:34, 10.01it/s]
Epoch: 1/100. Loss: 8.13466. Acc: 5.949:   0%|          | 104/54526 [00:17<1:30:34, 10.01it/s]
Epoch: 1/100. Loss: 8.10377. Acc: 5.947:   0%|          | 104/54526 [00:17<1:30:34, 10.01it/s]
Epoch: 1/100. Loss: 8.10377. Acc: 5.947:   0%|          | 106/54526 [00:17<1:30:18, 10.04it/s]
Epoch: 1/100. Loss: 8.10351. Acc: 5.963:   0%|          | 106/54526 [00:17<1:30:18, 10.04it/s]
Epoch: 1/100. Loss: 8.10367. Acc: 5.960:   0%|          | 106/54526 [00:17<1:30:18, 10.04it/s]
Epoch: 1/100. Loss: 8.10367. Acc: 5.960:   0%|          | 108/54526 [00:17<1:30:29, 10.02it/s]
Epoch: 1/100. Loss: 8.02936. Acc: 5.960:   0%|          | 108/54526 [00:17<1:30:29, 10.02it/s]
Epoch: 1/100. Loss: 8.07489. Acc: 5.957:   0%|          | 108/54526 [00:17<1:30:29, 10.02it/s]
Epoch: 1/100. Loss: 8.07489. Acc: 5.957:   0%|          | 110/54526 [00:17<1:30:39, 10.00it/s]
Epoch: 1/100. Loss: 8.05280. Acc: 5.946:   0%|          | 110/54526 [00:17<1:30:39, 10.00it/s]
Epoch: 1/100. Loss: 8.00851. Acc: 5.937:   0%|          | 110/54526 [00:17<1:30:39, 10.00it/s]
Epoch: 1/100. Loss: 8.00851. Acc: 5.937:   0%|          | 112/54526 [00:17<1:30:22, 10.03it/s]
Epoch: 1/100. Loss: 7.97577. Acc: 5.934:   0%|          | 112/54526 [00:17<1:30:22, 10.03it/s]
Epoch: 1/100. Loss: 7.93261. Acc: 5.925:   0%|          | 112/54526 [00:17<1:30:22, 10.03it/s]
Epoch: 1/100. Loss: 7.93261. Acc: 5.925:   0%|          | 114/54526 [00:17<1:30:11, 10.05it/s]
Epoch: 1/100. Loss: 7.88820. Acc: 5.914:   0%|          | 114/54526 [00:18<1:30:11, 10.05it/s]
Epoch: 1/100. Loss: 7.82024. Acc: 5.914:   0%|          | 114/54526 [00:18<1:30:11, 10.05it/s]
Epoch: 1/100. Loss: 7.82024. Acc: 5.914:   0%|          | 116/54526 [00:18<1:30:21, 10.04it/s]
Epoch: 1/100. Loss: 7.77145. Acc: 5.900:   0%|          | 116/54526 [00:18<1:30:21, 10.04it/s]
